"filename", "language", "Python", "Markdown", "YAML", "C", "pip requirements", "toml", "Makefile", "Ini", "comment", "blank", "total"
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.spa-SPA.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 1, 42, 102
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.tr-TR.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 1, 52, 121
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.zh-CN.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 1, 41, 106
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\build.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 16, 58
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.ar-DZ.md", "Markdown", 0, 200, 0, 0, 0, 0, 0, 0, 0, 99, 299
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.fr-FR.md", "Markdown", 0, 189, 0, 0, 0, 0, 0, 0, 0, 88, 277
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.gu-GU.md", "Markdown", 0, 185, 0, 0, 0, 0, 0, 0, 0, 88, 273
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.it-IT.md", "Markdown", 0, 209, 0, 0, 0, 0, 0, 0, 0, 98, 307
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 102, 308
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.pt-BR.md", "Markdown", 0, 200, 0, 0, 0, 0, 0, 0, 0, 99, 299
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.spa-SPA.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 102, 308
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.tr-TR.md", "Markdown", 0, 199, 0, 0, 0, 0, 0, 0, 0, 99, 298
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.zh-CN.md", "Markdown", 0, 182, 0, 0, 0, 0, 0, 0, 0, 85, 267
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\gui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\gui\gui.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 3, 40, 197
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\poetry.lock", "toml", 0, 0, 0, 0, 0, 622, 0, 0, 0, 53, 675
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\pyproject.toml", "toml", 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\requirements.txt", "pip requirements", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tests\test_utils.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
